_id,answer,choices,question
638af20600f07e34fd49d97c,Stop classes till the three-stop misbehaving,"[""Assign them a separate seat"",""Detain three after class"",""Send them to the guidance room""]","In classroom management, this is the immediate and effective way to address three misbehaving students."
638af24000f07e34fd49d97d,repeat,"[""rephrase"",""redirect"",""probe""]","What questioning technique is used by Teacher A when he asked the learners a series of questions that serves to explore, look into, and inquire?"
638af27000f07e34fd49d97e,Accomplish student’s technology projects for them.,"[""Make available technology equipment for use of students and teachers."",""Work with teachers in producing instructional materials."",""Conduct training for teachers on the use of technology tools.""]",Which among the following is NOT a responsibility of the Learning Resource / Audiovisual / Educational Technology Centers of a school?
638af2b500f07e34fd49d97f,rule,"[""routine"",""code"",""norm""]","As a classroom manager, Teacher A required each of his students to stand and give their seatwork individually to him before the bell rings for dismissal. What component of classroom management did he establish?"
638af30c00f07e34fd49d980,group project concepts and application,"[""student group takes drills"",""student group take a field trip"",""teacher tutorial on students’ groups""]","Among the activities below, which activity demonstrates collaborative learning?"
638af35000f07e34fd49d981,balance,"[""interactivity"",""utility"",""attractiveness""]",A bulletin board display has many colors and arrangement that catches and hold interest. What criteria is being exemplified in this situation?
638af38700f07e34fd49d982,Learning is a cooperative and collaborative process,"[""Effective learning begins with the setting of expectations and learning of outcomes"",""Learning is the discovery of personal meaning and relevant ideas"",""Learning is an active process""]","Teacher Rina does not have drills out of context. Instead, she gives real-world Math problems for the learners to drill on. This act of Teacher Ivy is rooted in which principle of learning?"
638af3b800f07e34fd49d983,Portfolio,"[""Assignment submitted before the deadline"",""Analysis of learning episodes"",""Reflections/insight""]","This learning episode includes documentation that is complete, clear, and well-organized."
638af3e300f07e34fd49d984,application,"[""synthesis"",""analysis"",""evaluation""]","Teacher C asks students to break down, critically examine and investigate a concept or problem. This demonstrates what kind of learning?"
638af42100f07e34fd49d985,Begin with the goal/objective in mind,"[""Share lesson objectives/outcomes with students."",""Write SMART lesson objectives"",""Lesson objectives/outcomes integrated with 2 or 3 domains-cognitive, skill, and effective learning.""]","To achieve meaningful teaching and process, it is best to link and relate the lesson to the life of the student by integrating a relevant value in the lesson. Which among the following agrees with this principle?"
638af45100f07e34fd49d986,Learning is a cooperative and collaborative process,"[""Learning is the discovery of the personal meaning of ideas."",""Learning is an active process"",""Effective learning begins with setting clear expectations and learning outcomes""]",Teacher Jenny adheres to the idea that her students do not need to know the learning outcomes of her lessons. She proceeds to give activities without letting them know what they were supposed to learn for the day. What principle of learning does Teacher Jenny violate?
638af48900f07e34fd49d987,"I, II, and III","[""I only"",""I and II"",""I and III""]","Based on DepEd’s present grading system, which assessment is/are used to grade students?
I. Formative assessment
II. Summative assessment
III. Assessment of Learning"
638af4be00f07e34fd49d988,Zero-based grading,"[""Cumulative"",""Averaging"",""Norm-referenced grading""]","When computing for the final grade in a learning area, K to 12 utilizes:"
638af50100f07e34fd49d989,variance,"[""range"",""standard deviation"",""coefficient of variation""]","When comparing the variability of two sets of scores, which is best?"
638af54300f07e34fd49d98a,It is significantly affected by extreme scores,"[""It is a measure of variability"",""It is the most stable measure of central tendency"",""It is 2-second quartile""]",Which of the following is correct about the Median?
638af57600f07e34fd49d98b,showcase portfolio,"[""evaluation portfolio"",""development portfolio"",""assessment portfolio""]","If you are to determine if you realized your intended learning outcomes, which of the following portfolios would you require?"
638af5b600f07e34fd49d98c,very difficult,"[""very easy"",""average/moderately difficult"",""not too easy nor difficult""]","When the distribution is skewed to the right, the test is said to be:"
